hour,day_of_week,month,temperature,humidity,wind_speed,cloud_cover,precipitation,weather_description_Berawan,weather_description_Cerah,weather_description_Cerah Berawan,weather_description_Hujan Ringan,weather_description_Hujan Sedang
0.49501718839523406,0.5528143425100387,0.0,0.9002308190740395,-0.9888470525296658,0.5559882980569554,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
0.6416889479197478,0.5528143425100387,0.0,0.19875225875660607,-0.383044135855461,-0.725797531946272,0.5926098462404121,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
0.7883607074442617,0.5528143425100387,0.0,0.19875225875660607,-0.15586804210263422,-0.725797531946272,0.38001438570573504,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
0.9350324669687755,0.5528143425100387,0.0,0.19875225875660607,0.07130805165019256,-0.725797531946272,0.5926098462404121,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
1.0817042264932892,0.5528143425100387,0.0,-0.15198702140211065,0.22275878081874376,-1.087326868613849,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
1.2283759860178032,0.5528143425100387,0.0,-0.15198702140211065,0.3742095099872949,-1.087326868613849,0.5926098462404121,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
1.375047745542317,0.5528143425100387,0.0,-0.15198702140211065,0.5256602391558461,-1.087326868613849,-0.2932045726540756,-0.36905065316699553,0.0,0.0,1.0,0.0,0.0
1.5217195050668306,0.5528143425100387,0.0,-0.5027263015608274,0.5256602391558461,-0.43000080194552726,-2.6317546385355235,-0.36905065316699553,0.0,1.0,0.0,0.0,0.0
-1.8517309639969868,1.0335224664318114,0.0,-0.5027263015608274,0.6013856037401217,-0.43000080194552726,-1.639642489373697,-0.36905065316699553,0.0,1.0,0.0,0.0,0.0
-1.7050592044724728,1.0335224664318114,0.0,-0.5027263015608274,0.6771109683243973,-0.43000080194552726,-2.7026197920470825,-0.36905065316699553,0.0,1.0,0.0,0.0,0.0
-1.558387444947959,1.0335224664318114,0.0,-0.8534655817195441,0.8285616974929485,-0.364268195278695,-2.560889485023964,-0.36905065316699553,0.0,1.0,0.0,0.0,0.0
-1.4117156854234454,1.0335224664318114,0.0,-0.8534655817195441,0.8285616974929485,-0.364268195278695,-2.6671872152913028,-0.36905065316699553,0.0,1.0,0.0,0.0,0.0
-1.2650439258989314,1.0335224664318114,0.0,-0.8534655817195441,0.8285616974929485,-0.364268195278695,0.48631211597307356,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
-1.1183721663744177,1.0335224664318114,0.0,-1.2042048618782608,0.8285616974929485,-0.8901290486133524,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
-0.9717004068499039,1.0335224664318114,0.0,-0.5027263015608274,0.6013856037401217,-0.8901290486133524,0.5926098462404121,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
-0.8250286473253902,1.0335224664318114,0.0,-0.15198702140211065,-0.00441731293408303,-0.8901290486133524,0.48631211597307356,-0.29334795508145795,1.0,0.0,0.0,0.0,0.0
-0.6783568878008763,1.0335224664318114,0.0,0.5494915389153228,-0.6102202296082878,-0.8901290486133524,-0.1160416888751781,-0.29334795508145795,0.0,0.0,1.0,0.0,0.0
-0.5316851282763625,1.0335224664318114,0.0,0.9002308190740395,-1.0645724171139412,-0.8901290486133524,-0.045176535363619076,-0.29334795508145795,0.0,0.0,1.0,0.0,0.0
-0.3850133687518487,1.0335224664318114,0.0,1.601709379391473,-1.4431992400353193,1.60771000472627,-0.7538280704792093,-0.29334795508145795,0.0,0.0,1.0,0.0,0.0
-0.23834160922733494,1.0335224664318114,0.0,1.601709379391473,-1.5189246046195948,1.60771000472627,0.5926098462404121,-0.29334795508145795,1.0,0.0,0.0,0.0,0.0
-0.09166984970282113,1.0335224664318114,0.0,1.601709379391473,-1.4431992400353193,1.60771000472627,0.6280424229961916,-0.29334795508145795,1.0,0.0,0.0,0.0,0.0
0.055001909821692674,1.0335224664318114,0.0,1.2509700992327561,-1.3674738754510436,1.60771000472627,0.5571772694846326,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
0.20167366934620648,1.0335224664318114,0.0,1.2509700992327561,-1.2917485108667681,1.60771000472627,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
0.3483454288707203,1.0335224664318114,0.0,1.601709379391473,-1.5189246046195948,1.60771000472627,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
0.49501718839523406,1.0335224664318114,0.0,1.2509700992327561,-1.2160231462824924,0.12872635472254632,0.5926098462404121,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
0.6416889479197478,1.0335224664318114,0.0,0.5494915389153228,-0.6859455941925634,0.12872635472254632,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
0.7883607074442617,1.0335224664318114,0.0,0.5494915389153228,-0.383044135855461,0.12872635472254632,0.6280424229961916,-0.36905065316699553,1.0,0.0,0.0,0.0,0.0
0.9350324669687755,1.0335224664318114,0.0,0.19875225875660607,-0.08014267751835862,0.12872635472254632,0.6280424229961916,-0.29334795508145795,1.0,0.0,0.0,0.0,0.0
